Acinetobacter baumannii
Bacillus anthracis
Bordetella pertussis
Brucella melitensis
Brucella spp.
Burkholderia mallei
Burkholderia pseudomallei
Campylobacter jejuni
Campylobacter coli
Citrobacter freundii
Citrobacter portucalensis
Citrobacter braakii
Citrobacter europaeus
Clostridioides difficile
Clostridium perfringens
Corynebacterium diphtheriae
Corynebacterium pseudotuberculosis
Cronobacter sakazakii
Cronobacter malonaticus
Enterobacter hormaechei
Enterococcus faecalis
Enterococcus faecium
Escherichia coli
Francisella tularensis
Klebsiella oxytoca
Klebsiella grimontii
Klebsiella michiganensis
Klebsiella pasteurii
Klebsiella pneumoniae
Klebsiella variicola
Klebsiella quasipneumoniae
Legionella pneumophila
Listeria monocytogenes
Morganella morganii
Mycobacterium tuberculosis
Mycobacterium bovis
Mycobacterium africanum
Mycobacterium canettii
Mycobacteroides abscessus
Mycoplasma gallisepticum
Paenibacillus larvae
Proteus mirabilis
Providencia stuartii
Pseudomonas aeruginosa
Salmonella enterica
Serratia marcescens
Staphylococcus argenteus
Staphylococcus aureus
Staphylococcus capitis
Streptococcus pyogenes
Yersinia enterocolitica
